"coverage","country","lon","lat"
"1","BR","-54.700927734375014","-28.062285562559854"
"1","BR","-49.66918945312501","-29.238476636995408"
"1","UY","-56.304931640625","-34.7506393117471"
"1","AR","-58.238525390625","-28.023499612028544"
"1","BR","-49.31762695312501","-26.853479013939623"
"1","BR","-51.51489257812499","-29.735761990804548"
"1","BR","-52.10815429687501","-25.37380876372356"
"1","BR","-49.16381835937499","-26.735798597235398"
"1","BR","-51.185302734375","-30.17362409267831"
"1","AR","-58.72192382812501","-28.58452127683979"
"1","PY","-55.865478515625","-27.225325408412584"
"1","BR","-52.70141601562501","-26.99061829699693"
"1","BR","-48.768310546875","-27.634873358518313"
"1","PY","-54.810791015625","-26.657277251882103"
"1","BR","-48.76831054687501","-26.382027556732304"
"1","BR","-54.481201171875","-27.829360424938624"
"1","BR","-50.811767578125","-29.60211775925574"
"1","PY","-55.623779296875","-27.342494037461492"
"1","BR","-49.229736328125","-26.36234164992481"
"1","UY","-58.08471679687501","-32.37068238981636"
"1","BR","-51.822509765625","-28.98892192538713"
"1","BR","-54.327392578125","-30.325470800273205"
"1","UY","-57.16186523437501","-34.44315818321061"
"1","AR","-56.568603515625","-29.084976128535068"
"1","AR","-59.99633789062501","-31.84956485618195"
"1","BR","-54.19555664062499","-31.043521165304327"
"1","PY","-56.50268554687501","-25.967921814391097"
"1","BR","-48.856201171875","-28.3140526182544"
"1","BR","-48.87817382812501","-26.066651722817888"
"1","AR","-58.370361328125","-34.804782425921736"
"1","BR","-52.020263671875","-30.987027495387533"
"1","BR","-48.59252929687501","-26.99061829699693"
"1","BR","-52.525634765625","-28.35273332003185"
"1","BR","-53.00903320312501","-27.945885785705983"
"1","BR","-51.69067382812501","-30.628458412994462"
"1","BR","-49.383544921875","-25.908644049321087"
"1","BR","-50.921630859375","-28.488004762593324"
"1","PY","-56.26098632812501","-25.512699598189307"
"1","BR","-48.74633789062499","-28.35273332003185"
"1","BR","-49.229736328125","-26.83387409079159"
"1","BR","-49.031982421875","-26.500072495141783"
"1","BR","-51.976318359375","-27.303451561710343"
